layer,tensor,c_norm,ref_norm,best_scale,sc_inv_eps
5,attn.v,371152.99732994207,82.96052818225597,0.00022148229724517905,0.1347569879590104
5,attn_sub_norm.output,79148.91414289901,11.950209529288486,0.00013707337128575887,0.4192569050684194
5,post_attention_layernorm.output,132181.52735537596,26.691874089525314,0.0001773961781712935,0.4777639514701551
5,ffn.up_proj,2318242.3601200543,4326.031510605138,0.0017258630594446222,0.3803103587229109
5,ffn_sub_norm.output,266981.08435617684,98.21065107429361,0.0002598956387292148,0.7076988674839547
5,block_output,480899854.37292117,105981.2946183313,0.0002168634120850703,0.17796044059789326
6,input_layernorm.output,1418.5069615620503,0.288314907608176,0.0001794324192272718,0.4697377276929273
6,attn.q_pre_rope,106477.58777320231,19.866749001244838,0.00016837729759385168,0.43083037186700324
6,attn.k_pre_rope,172836.01915978047,37.810371645427644,0.00021171921215287355,0.2517378764025393
6,attn.v,274351.5032872975,64.29596564546749,0.00022972347227079778,0.1978502186132157
6,attn_sub_norm.output,89080.49162976145,14.847757070714888,0.00015667788823857642,0.3411648548772776
6,post_attention_layernorm.output,130007.69084173444,24.953969910810304,0.00017387812854379933,0.42351801154219987
6,ffn.up_proj,2187351.71035707,3720.2027621535613,0.0015810334520508485,0.368586441951246
6,ffn_sub_norm.output,157248.42157554397,53.96092403641522,0.0003003718003103821,0.48354693712389746
6,block_output,544634267.5750889,127185.85224566855,0.00023094546057083123,0.14823039310238306
7,input_layernorm.output,1270.6148118135566,0.24434976212878357,0.00017212988499222846,0.4459204049489275
7,attn.q_pre_rope,97301.17345130016,17.59764252788489,0.00016582432993924684,0.39916616603946603
7,attn.k_pre_rope,130121.64420648856,24.636914983872565,0.0001816099404140618,0.2827758979013514
7,attn.v,250408.64837301447,53.255071242847464,0.00020975725483699412,0.1650116166193393
7,attn_sub_norm.output,77461.37619484952,11.035394411340981,0.00012196768171453147,0.5167526627423894
7,post_attention_layernorm.output,128417.17820447544,23.228056100999574,0.0001664065883557536,0.39195343508731734
7,ffn.up_proj,1973731.322683004,3147.3821439589005,0.0014828673944261605,0.3677874013009966
7,ffn_sub_norm.output,283431.28499161836,118.11216468942156,0.00012809333396139884,0.9515859185630409
7,block_output,607481490.6344206,137286.05843263457,0.00022081073855121554,0.21290671405390585
8,input_layernorm.output,1453.2398287963347,0.3240016992717982,0.00019880621939556573,0.45262202892726466
8,attn.q_pre_rope,119518.29920978629,25.572331296166805,0.00018739786191944392,0.48258717646317717
8,attn.k_pre_rope,149555.24048324084,32.076045725645336,0.00020052637838632927,0.35475717485107605
8,attn.v,388504.0306753586,101.07844681247417,0.0002577480901769998,0.13622600227612003
8,attn_sub_norm.output,125579.82852353319,21.137009038154584,0.00015840944548197133,0.3379977379959163
8,post_attention_layernorm.output,125444.5447199678,26.682685152423886,0.0001892641584622454,0.4563577908821069
8,ffn.up_proj,1986151.6241976593,3813.6568506892013,0.0017390757576126949,0.4238973031317066
8,ffn_sub_norm.output,227872.27624263553,31.13979621044753,0.00010995465912025243,0.5937937484010763
8,block_output,668459600.3137332,146184.25456572778,0.00021408584743322812,0.20407842675906915
9,input_layernorm.output,1183.8724593468673,0.2666649145721109,0.00019925227164739056,0.4663683842472182
